162 340
 0  1  7
 0  2  8
 0  3  7
 0  4  7
 0  5  5
 0  6  7
 0  7  9
 0  8  9
 0  9  6
 0 10  9
 0 11  6
 0 12  8
 0 13  8
 0 14  8
 0 15  9
 0 16  9
 0 17  5
 0 18  6
 0 19  6
 0 20  9
 0 21 11
 0 22 19
 0 23 18
 0 24 10
 0 25 16
 0 26 18
 0 27 10
 0 28 12
 0 29 10
 0 30 16
 0 31 15
 0 32 18
 0 33 19
 0 34 17
 0 35 17
 0 36 11
 0 37 16
 0 38 18
 0 39 12
 0 40 13
 1 32  7
 1 55 23
 2 21 12
 2 57 38
 3 33 11
 3 45 23
 4 28  5
 4 60 20
 5 26  6
 5 48 32
 6 22  7
 6 42 39
 7 34  5
 7 43 22
 8 25  5
 8 51 25
 9 39 12
 9 52 39
10 37  7
10 46 34
11 29 12
11 49 27
12 30 13
12 44 33
13 24 12
13 50 27
14 27  6
14 47 39
15 36 11
15 59 32
16 31  6
16 58 29
17 35 11
17 54 37
18 23 12
18 53 21
19 40 10
19 41 25
20 38  9
20 56 23
21 44  8
21 61 34
22 48  5
22 68 24
23 52  6
23 65 32
24 56  6
24 67 21
25 49  6
25 72 35
26 50 14
26 71 36
27 45  7
27 80 23
28 41 14
28 74 33
29 51 11
29 79 37
30 60 14
30 62 28
31 46 10
31 64 28
32 59  7
32 63 29
33 57  7
33 77 29
34 53 11
34 73 25
35 47 13
35 70 35
36 43  5
36 78 37
37 42  7
37 66 32
38 58 13
38 69 30
39 55  8
39 75 22
40 54 13
40 76 27
41 80 11
41 87 20
42 73  7
42 94 25
43 76  6
43 81 38
44 77  5
44 92 22
45 72 13
45 98 23
46 69  6
46 96 25
47 65  7
47 95 31
48 74  7
48 84 27
49 71 14
49 83 35
50 68 10
50 100 33
51 67  6
51 86 26
52 75  5
52 82 34
53 79  9
53 85 21
54 70 12
54 99 24
55 61  6
55 91 39
56 63  9
56 88 38
57 66  5
57 89 21
58 62  8
58 90 23
59 78 13
59 97 31
60 64 11
60 93 22
61 99  9
61 104 37
62 96 13
62 112 31
63 98  5
63 105 29
64 81 14
64 119 31
65 86 10
65 110 27
66 91  7
66 107 28
67 95 10
67 111 29
68 90 13
68 102 20
69 94 12
69 106 23
70 93  8
70 116 33
71 87  9
71 108 22
72 82 13
72 115 38
73 97 13
73 109 28
74 92  7
74 113 20
75 83  8
75 103 38
76 88 10
76 117 20
77 84  6
77 120 34
78 89 10
78 118 30
79 100  7
79 101 23
80 85 11
80 114 21
81 116  6
81 128 20
82 106 12
82 122 33
83 110  6
83 139 27
84 108  7
84 133 28
85 104  5
85 124 33
86 112 10
86 126 26
87 117 12
87 137 20
88 105  6
88 136 20
89 113  7
89 130 36
90 107 14
90 134 24
91 102 14
91 131 33
92 118 14
92 121 36
93 120 12
93 140 32
94 109  7
94 127 25
95 119 14
95 132 30
96 114  5
96 135 34
97 101 14
97 129 38
98 115  9
98 125 33
99 111  8
99 138 24
100 103 12
100 123 35
101 134 10
101 142 31
102 127 14
102 151 26
103 126 13
103 156 28
104 132  7
104 152 23
105 140  8
105 160 23
106 131  5
106 157 30
107 125  7
107 143 29
108 121  9
108 145 21
109 135 11
109 158 24
110 128 10
110 154 34
111 136  6
111 155 28
112 130  6
112 141 37
113 138  7
113 148 23
114 123  5
114 146 37
115 139  9
115 153 22
116 124 14
116 150 39
117 129  8
117 144 36
118 122  5
118 149 25
119 137  9
119 159 28
120 133 12
120 147 30
121 150  8
121 161 17
122 156  8
122 161 12
123 141 14
123 161 10
124 146 13
124 161 18
125 143 10
125 161 12
126 151  8
126 161 17
127 159 12
127 161 10
128 154 14
128 161 18
129 157 11
129 161 16
130 148  9
130 161 12
131 160 13
131 161 13
132 142 12
132 161 15
133 145 12
133 161 18
134 158  7
134 161 12
135 144  8
135 161 13
136 153  5
136 161 10
137 149  8
137 161 19
138 152 13
138 161 13
139 147  7
139 161 10
140 155  5
140 161 15
141 161  7
142 161  9
143 161  8
144 161  8
145 161  9
146 161  5
147 161  9
148 161  5
149 161  6
150 161  6
151 161  6
152 161  7
153 161  5
154 161  9
155 161  9
156 161  8
157 161  9
158 161  6
159 161  5
160 161  5
0
161
10

 72
(111 136) (84 108) (36 43) (48 74) (0 27) (123 161) (138 161) (125 143) (128 161) (63 98)
